id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,attributes,_page_url,search_term
gXiWHYBuPLWWXZJPOP1uKw,pretty-girls-cook-philadelphia,Pretty Girls Cook,https://s3-media1.fl.yelpcdn.com/bphoto/QOH8n9TzNjiZI2INBwm5gw/o.jpg,False,https://www.yelp.com/biz/pretty-girls-cook-philadelphia?adjust_creative=M6Y2TxQZyXsUJdRhXjDBCw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M6Y2TxQZyXsUJdRhXjDBCw,212,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.9,"{'latitude': 39.9699452213117, 'longitude': -75.1475351472087}","['delivery', 'pickup']",$$,"{'address1': '1016 N Marshall St', 'address2': '', 'address3': None, 'city': 'Philadelphia', 'zip_code': '19123', 'country': 'US', 'state': 'PA', 'display_address': ['1016 N Marshall St', 'Philadelphia, PA 19123']}",+12152782260,(215) 278-2260,2701.7144528512404,"{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=0,Black owned
qrgxVuRwcUOK_KFk4A20Pg,amina-philadelphia-2,Amina,https://s3-media1.fl.yelpcdn.com/bphoto/DiB-FtZtthVKquvc22reXA/o.jpg,False,https://www.yelp.com/biz/amina-philadelphia-2?adjust_creative=M6Y2TxQZyXsUJdRhXjDBCw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M6Y2TxQZyXsUJdRhXjDBCw,175,"[{'alias': 'southern', 'title': 'Southern'}]",4.1,"{'latitude': 39.94810071496266, 'longitude': -75.14274906367064}","['delivery', 'pickup']",,"{'address1': '104 Chestnut St', 'address2': '', 'address3': None, 'city': 'Philadelphia', 'zip_code': '19106', 'country': 'US', 'state': 'PA', 'display_address': ['104 Chestnut St', 'Philadelphia, PA 19106']}",+12673243745,(267) 324-3745,2506.4243804844205,"{'business_temp_closed': None, 'menu_url': 'https://www.aminaphilly.com/menu', 'open24_hours': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=0,Black owned
Y7asEgUrJc3W9vD7wxEnQg,rhythm-and-brunch-philadelphia,Rhythm and Brunch,https://s3-media2.fl.yelpcdn.com/bphoto/2OxcmSzFPA_xRFgKw5rRVA/o.jpg,False,https://www.yelp.com/biz/rhythm-and-brunch-philadelphia?adjust_creative=M6Y2TxQZyXsUJdRhXjDBCw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M6Y2TxQZyXsUJdRhXjDBCw,131,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 39.9219015059064, 'longitude': -75.2311522531672}","['delivery', 'pickup']",$$,"{'address1': '6517 Elmwood Ave', 'address2': '', 'address3': None, 'city': 'Philadelphia', 'zip_code': '19142', 'country': 'US', 'state': 'PA', 'display_address': ['6517 Elmwood Ave', 'Philadelphia, PA 19142']}",+12159219915,(215) 921-9915,6220.1165885693645,"{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=0,Black owned
KscVqYYG7ziAroZhfNb0Ng,south-philadelphia,South,https://s3-media2.fl.yelpcdn.com/bphoto/J06qbycfvHFm_sPmnDsL_A/o.jpg,False,https://www.yelp.com/biz/south-philadelphia?adjust_creative=M6Y2TxQZyXsUJdRhXjDBCw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M6Y2TxQZyXsUJdRhXjDBCw,704,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'bars', 'title': 'Bars'}]",4.2,"{'latitude': 39.96440673335579, 'longitude': -75.16121946071026}",['delivery'],$$$,"{'address1': '600 N Broad St', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19130', 'country': 'US', 'state': 'PA', 'display_address': ['600 N Broad St', 'Philadelphia, PA 19130']}",+12156000220,(215) 600-0220,1455.9708908478633,"{'business_temp_closed': None, 'menu_url': 'https://southjazzkitchen.com/menus/', 'open24_hours': None, 'waitlist_reservation': True}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=0,Black owned
KYPhGJIibu_7ePIX4HNs6A,48th-street-grille-philadelphia,48th Street Grille,https://s3-media3.fl.yelpcdn.com/bphoto/7Gje0m4UfHkK4foLInfahQ/o.jpg,False,https://www.yelp.com/biz/48th-street-grille-philadelphia?adjust_creative=M6Y2TxQZyXsUJdRhXjDBCw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M6Y2TxQZyXsUJdRhXjDBCw,316,"[{'alias': 'caribbean', 'title': 'Caribbean'}]",4.3,"{'latitude': 39.95313, 'longitude': -75.21878}","['restaurant_reservation', 'delivery', 'pickup']",$$,"{'address1': '310 S 48th St', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19143', 'country': 'US', 'state': 'PA', 'display_address': ['310 S 48th St', 'Philadelphia, PA 19143']}",+12672444764,(267) 244-4764,4045.7925068361365,"{'business_temp_closed': None, 'menu_url': 'http://48thstreetgrille.com/menu-2', 'open24_hours': None, 'waitlist_reservation': True}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=0,Black owned
ZForVw2ZTiwDGfZ0XvZsXQ,uncle-bobbies-coffee-and-books-philadelphia,Uncle Bobbie's Coffee & Books,https://s3-media4.fl.yelpcdn.com/bphoto/jXwX2m8Q5BEurJ-FXQWeMg/o.jpg,False,https://www.yelp.com/biz/uncle-bobbies-coffee-and-books-philadelphia?adjust_creative=M6Y2TxQZyXsUJdRhXjDBCw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M6Y2TxQZyXsUJdRhXjDBCw,189,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bookstores', 'title': 'Bookstores'}]",4.7,"{'latitude': 40.03417, 'longitude': -75.17171}",['delivery'],$$,"{'address1': '5445 Germantown Ave', 'address2': '', 'address3': None, 'city': 'Philadelphia', 'zip_code': '19144', 'country': 'US', 'state': 'PA', 'display_address': ['5445 Germantown Ave', 'Philadelphia, PA 19144']}",+12154037058,(215) 403-7058,8921.648622358174,"{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=0,Black owned
EaXVdMGDs3_SPt5A4mQ5fg,corinnes-place-camden,Corinne's Place,https://s3-media1.fl.yelpcdn.com/bphoto/r2cmUcR4mDZwfHQJEZF_9w/o.jpg,False,https://www.yelp.com/biz/corinnes-place-camden?adjust_creative=M6Y2TxQZyXsUJdRhXjDBCw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M6Y2TxQZyXsUJdRhXjDBCw,157,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'bbq', 'title': 'Barbeque'}]",4.3,"{'latitude': 39.931514366515685, 'longitude': -75.10172532473571}","['delivery', 'pickup']",$$,"{'address1': '1254 Haddon Ave', 'address2': '', 'address3': '', 'city': 'Camden', 'zip_code': '08103', 'country': 'US', 'state': 'NJ', 'display_address': ['1254 Haddon Ave', 'Camden, NJ 08103']}",+18565414894,(856) 541-4894,6419.846732920151,"{'business_temp_closed': None, 'menu_url': 'https://corinnesplace.com/menu/', 'open24_hours': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=0,Black owned
ei3mGLJt99yfQJThqbRbag,black-and-nobel-philadelphia,Black and Nobel,https://s3-media3.fl.yelpcdn.com/bphoto/3NPQdpVBBeiD_TTQcqrSpA/o.jpg,False,https://www.yelp.com/biz/black-and-nobel-philadelphia?adjust_creative=M6Y2TxQZyXsUJdRhXjDBCw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M6Y2TxQZyXsUJdRhXjDBCw,7,"[{'alias': 'bookstores', 'title': 'Bookstores'}, {'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}, {'alias': 'healthmarkets', 'title': 'Health Markets'}]",4.9,"{'latitude': 39.941638226753064, 'longitude': -75.15004945643655}",[],,"{'address1': '422 South St', 'address2': '', 'address3': None, 'city': 'Philadelphia', 'zip_code': '19147', 'country': 'US', 'state': 'PA', 'display_address': ['422 South St', 'Philadelphia, PA 19147']}",+12159651559,(215) 965-1559,2252.8365883485044,"{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=0,Black owned
nmCUtvQX64b_fdVeb6vCSg,the-loft-lounge-philadelphia,The Loft Lounge,https://s3-media2.fl.yelpcdn.com/bphoto/X4Mzvoc7sxLTHqck1YkEIQ/o.jpg,False,https://www.yelp.com/biz/the-loft-lounge-philadelphia?adjust_creative=M6Y2TxQZyXsUJdRhXjDBCw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M6Y2TxQZyXsUJdRhXjDBCw,48,"[{'alias': 'lounges', 'title': 'Lounges'}]",2.1,"{'latitude': 40.02045, 'longitude': -75.21233}","['delivery', 'pickup']",,"{'address1': '3847 Terrace St', 'address2': '', 'address3': None, 'city': 'Philadelphia', 'zip_code': '19128', 'country': 'US', 'state': 'PA', 'display_address': ['3847 Terrace St', 'Philadelphia, PA 19128']}",+12156905505,(215) 690-5505,8200.308429853338,"{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=0,Black owned
C6cOQD3ELF38AeYgtfw0Dw,the-nile-cafe-philadelphia,The Nile Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/IqTeLo6geJhBTSDQiRDlDA/o.jpg,False,https://www.yelp.com/biz/the-nile-cafe-philadelphia?adjust_creative=M6Y2TxQZyXsUJdRhXjDBCw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=M6Y2TxQZyXsUJdRhXjDBCw,90,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",4.3,"{'latitude': 40.03929, 'longitude': -75.17822}",['pickup'],$$,"{'address1': '6008 Germantown Ave', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19144', 'country': 'US', 'state': 'PA', 'display_address': ['6008 Germantown Ave', 'Philadelphia, PA 19144']}",+12158436453,(215) 843-6453,9547.924513440616,"{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=0,Black owned
